ticker,issuer_cik,share_class_tickers,window_start_fy,window_end_fy,window_year_count,latest_fy,latest_ceo,latest_granted_usd,latest_cap_usd,window_granted_usd,window_cap_usd,company_tsr_idx,peer_tsr_idx,tsr_vs_peer,beat_peers,cap_to_granted_x,board_target_in_scope,board_target_stratum,board_target_featured_pct,board_target_metric_type,board_target_verification,source_accessions,flags
IBM,0000051143,IBM,2021,2025,5,2025,Mr. Krishna,37989685,83586950,117662827,221201567,303,210,93.0,True,2.2,True,S&P 100 Layer A,150,annual_cash_bonus_actual,PRIMARY_VERIFIED,0000051143-26-000025,
DAL,0000027904,DAL,2021,2025,5,2025,Edward H. Bastian,19222401,105500600,102520605,220971355,177,88,89.0,True,5.49,False,,,,,0001308179-26-000345,
ANET,0001596532,ANET,2021,2025,5,2025,Jayshree Ullal,2872145,26188077,54113054,220793370,721,163,558.0,True,9.12,False,,,,,0001193125-26-158942,
ADI,0000006281,ADI,2021,2025,5,2025,Vincent Roche,27456265,54018907,128359133,217222882,215.75,274.22,-58.5,False,1.97,False,,,,,0000006281-26-000010,
PWR,0001050915,PWR,2021,2025,5,2025,"Earl C. Austin, Jr.",15699684,63353478,68956582,217188136,591.12,280.39,310.7,True,4.04,False,,,,,0001193125-26-150293,
VST,0001692819,VST,2021,2025,5,2025,James A. Burke (PEO),15989188,40719971,69166572,217179313,912.44,159.06,753.4,True,2.55,False,,,,,0001628280-26-019029,CEO_TRANSITION
UNH,0000731766,UNH,2021,2025,5,2025,Hemsley/Witty (transition),60938062,56498799,185930927,217100686,102,148,-46.0,False,0.93,True,S&P 100 Layer A,0,LTI_PSU_actual,PRIMARY_VERIFIED,0001104659-26-046125,CEO_TRANSITION
CEG,0001868275,CEG,2022,2025,4,2025,Mr. Dominguez,17115179,78753450,58956610,216883385,734,162,572.0,True,4.6,False,,,,,0001552781-26-000140,
TRGP,0001389170,TRGP,2021,2025,5,2025,Matthew J. Meloy,21470708,31013211,81072613,216317243,769.9,346.67,423.2,True,1.44,False,,,,,0001193125-26-126280,
TMO,0000097745,TMO,2021,2025,5,2025,Mr. Casper,79923350,116091264,178792885,216150470,126.05,156.63,-30.6,False,1.45,True,S&P 100 Layer A,99.8,annual_cash_bonus_actual,PRIMARY_VERIFIED,0001193125-26-144585,
